"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,     "rms[k]"     ,     "rms[w]"     
         147,      -2.734515787,      0.3640406522,      -4.157717325,      0.3016726401
         148,      -2.739875174,      0.3502464805,      -4.154607413,      0.3047824392
         149,      -2.758803777,       0.316129697,      -4.141197415,       0.318192423
         150,      -2.773962492,      0.2481571882,      -4.128878022,      0.3305117852
         151,      -2.866387348,      0.1451873833,       -4.14042063,      0.3189691046
         152,      -2.930365589,      0.1784521268,      -4.208298582,      0.2510909419
         153,       -3.02942187,      0.2670558805,      -4.220853427,      0.2385359601
         154,      -2.896599067,      0.3330962555,      -4.167465587,      0.2919239234
         155,      -2.734415926,       0.362459238,      -4.161160625,      0.2982288969
         156,      -2.735582968,      0.3436628771,      -4.153740125,      0.3056495468
         157,      -2.761483556,      0.3098594185,      -4.152020506,      0.3073691895
         158,      -2.788248067,      0.2300984057,      -4.126886713,      0.3325030287
         159,      -2.884172789,      0.1620289212,      -4.128985951,      0.3304037127
         160,      -2.855533376,      0.2089450558,      -4.064476799,       0.394913015
         161,      -2.801898444,      0.2239385796,       -4.12994379,      0.3294458168
         162,      -2.793071695,      0.2403787742,      -4.106274653,      0.3531151748
         163,      -2.781754231,       0.221088352,      -4.127819599,      0.3315701327
         164,      -2.824287056,      0.2510186989,      -4.143268853,       0.316120852
         165,      -2.792395698,      0.2680531971,      -4.150271578,      0.3091182148
         166,      -2.833102279,      0.2234082819,      -4.206967239,      0.2524222895
         167,      -2.946376645,      0.2504976505,      -4.221517796,      0.2378717058
         168,       -2.86980344,      0.3257416603,      -4.193523533,      0.2658662118
         169,      -2.740108302,      0.3640068446,      -4.174896426,       0.284493405
         170,      -2.720601643,      0.3571256143,      -4.173898537,       0.285491391
         171,      -2.721802519,      0.3580752686,      -4.158638538,      0.3007513649
         172,      -2.705917558,      0.3382101513,      -4.143268074,         0.3161219
         173,      -2.722944969,      0.3038899059,      -4.130074155,       0.329315962
         174,      -2.778729097,      0.2012358431,      -4.149088293,      0.3103017532
         175,       -2.95189975,      0.1188795183,      -4.186505209,      0.2728848729
         176,      -2.900610248,      0.2372655981,      -4.170044061,      0.2893461414
         177,      -2.836551022,      0.2273245973,      -4.109342807,      0.3500474084
         178,      -2.857296721,       0.142545916,      -4.196575133,      0.2628148815
         179,      -2.988789416,      0.1423755854,      -4.372868826,     0.08652120901
         180,      -3.083634823,      0.2720419386,      -4.359907604,     0.09948258348
         181,      -2.912298704,      0.3523333415,      -4.281367916,      0.1780223969
         182,      -2.745601252,      0.3847211247,       -4.24122239,      0.2181680452
         183,       -2.73285847,      0.3762383009,      -4.215761252,      0.2436292587
         184,      -2.736719521,      0.3697721872,      -4.238919708,      0.2204705297
         185,      -2.735130392,      0.3670596315,       -4.24736552,       0.212024881
         186,       -2.73510333,       0.365996481,      -4.237302276,      0.2220883451
         187,      -2.731276457,      0.3586001388,      -4.209097588,      0.2502929919
         188,      -2.741869766,      0.3235263528,      -4.207562496,      0.2518281345
         189,      -2.789853348,      0.2610514949,      -4.177430654,      0.2819600341
         190,      -2.853313577,      0.1993836732,      -4.129934998,      0.3294556837
         191,      -2.820665043,       0.229008979,      -4.139166561,      0.3202241242
         192,      -2.826401732,       0.206737648,      -4.162776595,      0.2966140874
         193,      -2.827521755,      0.2172630288,      -4.174795329,      0.2845953269
         194,      -2.823892495,      0.2935924729,      -4.152599607,      0.3067910517
         195,      -2.733339676,      0.2935824923,      -4.149356159,      0.3100344699
         196,      -2.792068767,      0.2351251581,      -4.144076929,      0.3153137891
         197,      -2.874226523,      0.2692020492,      -4.165281652,      0.2941090978
         198,      -2.817330879,      0.3331274521,      -4.209956436,      0.2494344265
         199,      -2.737289203,      0.3736205514,      -4.220914092,      0.2384768263
         200,      -2.720982184,      0.3655237211,      -4.208909564,      0.2504812761
         201,      -2.731152615,      0.3646625432,      -4.234625286,      0.2247655452
         202,      -2.729546451,      0.3605600649,      -4.221362649,      0.2380282403
         203,      -2.729243229,      0.3489281187,      -4.208843349,      0.2505475353
         204,      -2.726952077,      0.3494763062,      -4.211354932,      0.2480359924
         205,       -2.73261802,      0.3503626462,      -4.217283347,      0.2421076475
         206,      -2.741309032,      0.3434162345,      -4.264362004,      0.1950287653
         207,      -2.749732706,      0.3369214321,      -4.255995635,      0.2033954141
         208,      -2.773121224,      0.3021900085,      -4.274067469,      0.1853236965
         209,      -2.859373255,      0.2465467661,       -4.31852619,      0.1408648981
         210,      -2.885737938,      0.2521215223,      -4.335976362,      0.1234148943
         211,      -2.876543844,      0.3025121407,      -4.292773633,      0.1666175161
         212,      -2.828484031,      0.3378541378,       -4.26957153,      0.1898193832
         213,      -2.746528645,      0.3494950534,      -4.233180681,      0.2262102862
         214,       -2.79594539,      0.2933993002,      -4.266402948,        0.19298811
         215,       -2.95800647,      0.2853418596,      -4.367486709,     0.09190440919
         216,      -2.858886482,      0.3547400194,      -4.265434748,      0.1939560411
         217,      -2.733004477,      0.3919189422,      -4.253901267,      0.2054896464
         218,      -2.721808625,      0.3791786044,      -4.233678544,      0.2257122447
         219,      -2.732183156,      0.3669662231,      -4.253298995,      0.2060917642
         220,      -2.729106687,      0.3689125505,      -4.223060389,      0.2363303094
         221,      -2.717892827,      0.3701839186,      -4.199827792,      0.2595627907
         222,      -2.711044852,      0.3670186385,      -4.209417836,      0.2499727358
         223,      -2.713367325,      0.3545722751,      -4.210095293,      0.2492954043
         224,       -2.72258078,      0.3320886536,      -4.214981926,      0.2444086998
         225,      -2.750367668,      0.2859939229,      -4.189043837,      0.2703467726
         226,      -2.806251618,      0.2073501614,      -4.201112693,      0.2582779014
         227,      -2.955715288,      0.1745491584,      -4.224680559,      0.2347100782
         228,      -2.883569355,      0.2897973394,      -4.143848322,      0.3155422757
         229,      -2.736361701,      0.3286198891,      -4.046361577,      0.4130289775
         230,      -2.712084874,      0.2463666108,      -4.092459299,      0.3669312546
         231,      -2.830278231,      0.2536662427,      -4.204615938,      0.2547744796
