"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          20,      -4.302547799,     -0.6342037143,      -1.778752198,       1.175312185,      -6.738281442
          0,           0,          21,      -4.324956092,     -0.6626269593,      -1.821275838,       1.153744718,      -6.764706672
          0,           0,          22,      -4.345778928,     -0.6903523026,      -1.857558448,       1.133557643,      -6.792419775
          0,           0,          23,      -4.365063675,     -0.7173664046,      -1.887279356,       1.114596269,      -6.816924194
          0,           0,          24,       -4.38256357,     -0.7436898723,      -1.914346001,       1.097187796,      -6.842965384
          0,           0,          25,       -4.39874093,     -0.7693614452,      -1.942897463,       1.081172849,      -6.867607992
          0,           0,          26,      -4.414611766,     -0.7944168684,      -1.974308322,       1.065826765,      -6.891100135
          0,           0,          27,      -4.430912682,     -0.8188786452,      -2.007110553,       1.050474123,      -6.913390202
          0,           0,          28,      -4.447621448,     -0.8427592964,      -2.038645643,       1.034935692,      -6.931878133
          0,           0,          29,      -4.464160083,     -0.8660694149,       -2.06699864,       1.019449916,      -6.949092982
          0,           0,          30,      -4.479903242,     -0.8888225097,      -2.092057661,       1.004344981,      -6.966379402
          0,           0,          31,      -4.494531624,     -0.9110347071,      -2.115182605,      0.9898189831,      -6.986162848
          0,           0,          32,       -4.50808491,     -0.9327214978,      -2.138033855,      0.9759094088,      -7.006727944
          0,           0,          33,      -4.520841505,      -0.953894885,      -2.161552011,      0.9625381738,      -7.029490693
          0,           0,          34,      -4.533170648,     -0.9745633055,       -2.18563535,      0.9495534578,      -7.053299039
          0,           0,          35,      -4.545403927,     -0.9947340922,      -2.209495332,      0.9367812013,      -7.073447648
          0,           0,          36,      -4.557738374,      -1.014416072,      -2.232343534,      0.9240957149,       -7.09164527
          0,           0,          37,      -4.570203079,      -1.033620534,      -2.253926481,      0.9114661184,      -7.109174966
          0,           0,          38,      -4.582707162,      -1.052360621,      -2.274575685,      0.8989375721,      -7.124900767
          0,           0,          39,      -4.595132185,      -1.070649958,      -2.294858997,      0.8865666201,      -7.140548978
          0,           0,          40,      -4.607401434,      -1.088501437,      -2.315203396,      0.8743708167,       -7.15677572
          0,           0,          41,      -4.619489207,      -1.105926816,      -2.335751845,      0.8623290873,       -7.17246808
          0,           0,          42,      -4.631389359,      -1.122936871,      -2.356440012,      0.8504163727,      -7.186450158
          0,           0,          43,      -4.643087621,      -1.139541796,      -2.377133238,      0.8386315757,      -7.198750154
          0,           0,          44,       -4.65456121,      -1.155751415,      -2.397706407,      0.8269974444,      -7.209957545
          0,           0,          45,      -4.665794617,       -1.17157521,      -2.418060762,       0.815543531,      -7.221642154
          0,           0,          46,      -4.676788169,      -1.187022328,       -2.43812922,      0.8042944621,       -7.23349145
          0,           0,          47,      -4.687550182,      -1.202101621,      -2.457897606,      0.7932720048,      -7.244414492
          0,           0,          48,      -4.698082264,      -1.216821723,      -2.477421843,      0.7825021844,      -7.257935782
          0,           0,          49,      -4.708372025,      -1.231191192,      -2.496812881,      0.7720152545,      -7.272769351
          0,           0,          50,      -4.718398161,      -1.245218706,      -2.516192021,      0.7618358762,      -7.285254968
          0,           0,          51,      -4.728142048,      -1.258913228,      -2.535648288,      0.7519709969,      -7.296029445
          0,           0,          52,      -4.737597365,      -1.272284068,      -2.555223886,      0.7424040249,      -7.304789178
          0,           0,          53,      -4.746773952,      -1.285340903,      -2.574925395,      0.7330976999,      -7.312128643
          0,           0,          54,      -4.755697218,      -1.298093741,       -2.59473761,      0.7240020836,      -7.318134672
          0,           0,          55,      -4.764405696,      -1.310552798,      -2.614620835,      0.7150629579,      -7.324156498
          0,           0,          56,      -4.772947555,      -1.322728313,      -2.634493409,       0.706228554,      -7.331955474
          0,           0,          57,      -4.781375317,      -1.334630355,      -2.654218039,      0.6974551121,      -7.339033714
          0,           0,          58,      -4.789738609,      -1.346268656,      -2.673609825,      0.6887119539,      -7.344508804
          0,           0,          59,      -4.798076536,      -1.357652465,      -2.692468675,      0.6799853622,      -7.349171627
          0,           0,          60,      -4.806412126,       -1.36879048,      -2.710622844,      0.6712796888,       -7.35290118
          0,           0,          61,      -4.814750478,      -1.379690834,      -2.727965117,      0.6626147919,      -7.356419247
          0,           0,          62,      -4.823080432,      -1.390361115,      -2.744470125,       0.654020534,      -7.359209667
